Our trajectory
This is our trajectory.
longitude,latitude
27.064607430938086,46.280204233138896
27.07407880602392,46.365638603002026
27.08782885033835,46.44002358602923
27.101209639232135,46.49988886681155
27.10759545491792,46.53560569022682
27.103100358668204,46.55601462519997
27.144517692839777,46.49281628538051
27.141076546878615,46.54740783378199
27.1583897291305,46.57661387845835
27.206589902335264,46.51786208845915
27.220302264254673,46.58361244769944
27.285018837510002,46.51996838474297
27.31589114600492,46.57098928416035
27.36045752846354,46.63314011098225
27.333708886387043,46.55703564320289
27.3797960559087,46.59257244165366
27.388192864856162,46.63936786740879
27.38595132928361,46.57546930573289
27.390187395272086,46.54226377776159
27.430216829729027,46.56181192860726
27.429591345126873,46.53182679187231
27.463958789269626,46.54850513254207
27.475248582011385,46.52882327905717
27.48766338393242,46.54134597193153
27.549284883043036,46.538563307164246
27.568352613257385,46.48762950144052
27.606165030636234,46.51404301272
27.679057807882444,46.571236299315
27.6859063086899,46.48498309397579
27.714523062910615,46.53013779489434
27.75001268814947,46.55286504993668
27.771759930089235,46.49477885464178
