entity_name,time,distance_to_nearest_friend,distance_to_nearest_enemy
Entity0,2023-08-25 10:01:42,27.611862070042633,979.7479858820308
Entity1,2023-08-25 10:01:42,5.3228426874396035,591.7603211510446
Entity2,2023-08-25 10:01:42,81.72522963715329,369.53323717100255
Entity3,2023-08-25 10:01:42,14.021875923585227,579.1410824134593
Entity4,2023-08-25 10:01:42,54.3503872859791,782.5238976051575
Entity5,2023-08-25 10:01:42,81.64626501948183,594.7181990622572
Entity6,2023-08-25 10:01:42,47.4925439252334,698.6899622397998
Entity7,2023-08-25 10:01:42,58.50550981547124,801.7202588967058
Entity8,2023-08-25 10:01:42,52.68540608291401,876.8302382531973
Entity9,2023-08-25 10:01:42,81.64626501948183,521.302423399358
Entity10,2023-08-25 10:01:42,21.848406249508972,668.6649006078235
Entity11,2023-08-25 10:01:42,47.4925439252334,737.8611330254739
Entity12,2023-08-25 10:01:42,50.98341535978419,719.7223365765393
Entity13,2023-08-25 10:01:42,21.848406249508972,668.9850552572249
Entity14,2023-08-25 10:01:42,69.55511508692325,823.1769567381323
Entity15,2023-08-25 10:01:42,32.73974382393558,300.48807193683933
Entity16,2023-08-25 10:01:42,15.952392633826632,594.9768509495942
Entity17,2023-08-25 10:01:42,12.90856635100798,590.4590333571957
Entity18,2023-08-25 10:01:42,96.79125436268943,513.5719297226075
Entity19,2023-08-25 10:01:42,32.73974382393558,300.4060314511575
Entity20,2023-08-25 10:01:42,54.3503872859791,830.957276430755
Entity21,2023-08-25 10:01:42,23.844123886660608,924.5483781736467
Entity22,2023-08-25 10:01:42,119.82117326804484,981.5401846963164
Entity23,2023-08-25 10:01:42,5.3228426874396035,590.5478031089261
Entity24,2023-08-25 10:01:42,15.030549216994679,814.6187336112602
Entity25,2023-08-25 10:01:42,15.030549216994679,812.4669525824835
Entity26,2023-08-25 10:01:42,27.611862070042633,952.2650740330379
Entity27,2023-08-25 10:01:42,67.204001986539,917.5786645438899
Entity28,2023-08-25 10:01:42,23.844123886660608,913.7840712529072
Entity29,2023-08-25 10:01:42,197.41436687636892,490.12704083334415
Entity30,2023-08-25 10:01:42,54.899996825973766,777.7988548418199
Entity31,2023-08-25 10:01:42,12.90856635100798,584.6453725260667
Entity32,2023-08-25 10:01:42,52.68540608291401,914.2548752719945
Entity33,2023-08-25 10:01:42,96.79125436268943,477.5648908457215
Entity34,2023-08-25 10:01:42,79.0479490925401,783.6598296724076
Entity35,2023-08-25 10:01:42,91.36490925239197,654.1231952470017
Entity36,2023-08-25 10:01:42,128.31642927254717,767.2487704508759
Entity37,2023-08-25 10:01:42,62.716840916202955,636.4284392938539
Entity38,2023-08-25 10:01:42,55.29771453854677,343.53031632530724
Entity39,2023-08-25 10:01:42,19.872089207734053,435.83239301989596
Entity40,2023-08-25 10:01:42,43.09494854881356,567.4664853425771
Entity41,2023-08-25 10:01:42,62.716840916202955,578.5597365894822
Entity42,2023-08-25 10:01:42,81.24405890906287,431.5476236547962
Entity43,2023-08-25 10:01:42,81.24405890906287,508.9942826895797
Entity44,2023-08-25 10:01:42,55.29771453854677,300.4060314511575
Entity45,2023-08-25 10:01:42,64.79546060192267,577.1852815519255
Entity46,2023-08-25 10:01:42,64.79546060192267,637.2698989232474
Entity47,2023-08-25 10:01:42,19.872089207734053,454.9916430450496
Entity48,2023-08-25 10:01:42,145.52851795818242,696.2600501999198
Entity49,2023-08-25 10:01:42,43.09494854881356,526.5824644132358
Entity0,2023-08-26 10:01:42,19.973593228586008,978.2563092596779
Entity1,2023-08-26 10:01:42,2.2185378474520436,588.899306891996
Entity2,2023-08-26 10:01:42,79.75151244601237,372.7468304674821
Entity3,2023-08-26 10:01:42,13.47778751832627,584.3814908651837
Entity4,2023-08-26 10:01:42,55.36963988533906,787.6352144418446
Entity5,2023-08-26 10:01:42,84.43353582048817,598.9900117223613
Entity6,2023-08-26 10:01:42,43.70173743047142,703.3442700501246
Entity7,2023-08-26 10:01:42,55.36963988533906,801.1345164372061
Entity8,2023-08-26 10:01:42,49.128558850366886,881.3815966757351
Entity9,2023-08-26 10:01:42,84.43353582048817,523.0887435891609
Entity10,2023-08-26 10:01:42,27.27758560255283,673.5653706257601
Entity11,2023-08-26 10:01:42,43.70173743047142,737.1026927086001
Entity12,2023-08-26 10:01:42,50.44260128183296,721.8383269777013
Entity13,2023-08-26 10:01:42,27.27758560255283,671.439495108947
Entity14,2023-08-26 10:01:42,80.32664780144188,825.9947746639431
Entity15,2023-08-26 10:01:42,28.23029069295292,306.1914784750365
Entity16,2023-08-26 10:01:42,18.853891553704138,601.2392084792267
Entity17,2023-08-26 10:01:42,22.555774891924347,596.108047604871
Entity18,2023-08-26 10:01:42,98.43348919753967,521.0009359406164
Entity19,2023-08-26 10:01:42,28.23029069295292,307.1413117976633
Entity20,2023-08-26 10:01:42,56.902974494515284,838.6608536969399
Entity21,2023-08-26 10:01:42,24.909333019321593,931.6244048714861
Entity22,2023-08-26 10:01:42,118.55998777626668,987.041147105466
Entity23,2023-08-26 10:01:42,2.2185378474520436,590.8586635569021
Entity24,2023-08-26 10:01:42,6.319748913799265,818.185216281995
Entity25,2023-08-26 10:01:42,6.319748913799265,818.5262360312782
Entity26,2023-08-26 10:01:42,19.973593228586008,958.3034158043757
Entity27,2023-08-26 10:01:42,72.84240929347207,922.5132124189785
Entity28,2023-08-26 10:01:42,24.909333019321593,917.8495798539099
Entity29,2023-08-26 10:01:42,197.37168923221446,491.7775007908501
Entity30,2023-08-26 10:01:42,53.090286515479306,788.1343486238959
Entity31,2023-08-26 10:01:42,22.555774891924347,585.1287509454763
Entity32,2023-08-26 10:01:42,49.128558850366886,916.7390783072505
Entity33,2023-08-26 10:01:42,98.43348919753967,484.5230291652059
Entity34,2023-08-26 10:01:42,75.42559152637695,788.0362052416416
Entity35,2023-08-26 10:01:42,95.1736663890294,660.8109249137166
Entity36,2023-08-26 10:01:42,124.42438920853603,770.0570917290939
Entity37,2023-08-26 10:01:42,61.29186374390306,634.9658992796435
Entity38,2023-08-26 10:01:42,47.007823929798626,342.8225686052154
Entity39,2023-08-26 10:01:42,17.16100212185707,438.8368796727992
Entity40,2023-08-26 10:01:42,46.26028455316185,571.0362458078073
Entity41,2023-08-26 10:01:42,61.29186374390306,578.1216138863065
Entity42,2023-08-26 10:01:42,74.68037693140427,440.1328792987495
Entity43,2023-08-26 10:01:42,74.68037693140427,511.43551240018223
Entity44,2023-08-26 10:01:42,47.007823929798626,306.1914784750365
Entity45,2023-08-26 10:01:42,69.56391731104314,576.6793885848992
Entity46,2023-08-26 10:01:42,69.56391731104314,641.7578227848712
Entity47,2023-08-26 10:01:42,17.16100212185707,455.19093155783327
Entity48,2023-08-26 10:01:42,145.37507541423545,701.0487032799093
Entity49,2023-08-26 10:01:42,46.26028455316185,527.0633227063652
Entity0,2023-08-27 10:01:42,18.017519067411314,975.3683717884574
Entity1,2023-08-27 10:01:42,0.9024328837434001,582.9033887242364
Entity2,2023-08-27 10:01:42,76.01120164676288,367.43774128221906
Entity3,2023-08-27 10:01:42,11.265818210090812,582.5933482492583
Entity4,2023-08-27 10:01:42,54.04491123900949,785.5638425663658
Entity5,2023-08-27 10:01:42,80.56997660649637,591.5722560459371
Entity6,2023-08-27 10:01:42,43.40962242364947,701.6686712786002
Entity7,2023-08-27 10:01:42,54.14739822426751,799.736712944903
Entity8,2023-08-27 10:01:42,54.93541883349864,877.7944485606358
Entity9,2023-08-27 10:01:42,80.56997660649637,517.5528454265574
Entity10,2023-08-27 10:01:42,14.47406559352885,669.4452058848087
Entity11,2023-08-27 10:01:42,43.40962242364947,734.9150827716268
Entity12,2023-08-27 10:01:42,55.10636118941817,723.8440888151404
